features,acc,prod_acc_P,prod_acc_N,user_acc_P,user_acc_N,TP,TN,FP,FN
spectral,81.87,82.12,81.67,77.87,85.32,271,343,77,59
spectral+date,87.2,89.09,85.71,83.05,90.91,294,360,60,36
spectral+ndvi,82.27,83.03,81.67,78.06,85.96,274,343,77,56
spectral+ndvi+date,86.53,87.27,85.95,83.0,89.58,288,361,59,42
avg_ent_3,88.4,86.97,89.52,86.71,89.74,287,376,44,43
avg_ent_5,90.13,87.88,91.9,89.51,90.61,290,386,34,40
avg_ent_7,90.13,86.67,92.86,90.51,89.86,286,390,30,44
avg_ent_9,90.93,88.48,92.86,90.68,91.12,292,390,30,38
avg_ent_11,90.93,89.39,92.14,89.94,91.71,295,387,33,35
avg_ent_13,92.13,91.21,92.86,90.94,93.08,301,390,30,29
avg_ent_15,92.0,90.91,92.86,90.91,92.86,300,390,30,30
avg_ent_17,92.0,90.91,92.86,90.91,92.86,300,390,30,30
avg_ent_19,92.27,90.61,93.57,91.72,92.69,299,393,27,31
avg_ent_21,91.87,90.3,93.1,91.13,92.43,298,391,29,32
avg_ent_23,91.87,90.3,93.1,91.13,92.43,298,391,29,32
avg_ent_25,92.0,91.21,92.62,90.66,93.06,301,389,31,29
avg_ent_27,91.6,90.3,92.62,90.58,92.4,298,389,31,32
glcm_3,88.8,86.06,90.95,88.2,89.25,284,382,38,46
glcm_5,87.6,85.15,89.52,86.46,88.47,281,376,44,49
glcm_7,88.4,85.76,90.48,87.62,88.99,283,380,40,47
glcm_9,90.8,88.18,92.86,90.65,90.91,291,390,30,39
glcm_11,91.47,88.48,93.81,91.82,91.2,292,394,26,38
glcm_13,90.53,86.06,94.05,91.91,89.57,284,395,25,46
glcm_15,91.2,86.97,94.52,92.58,90.23,287,397,23,43
glcm_17,90.53,86.06,94.05,91.91,89.57,284,395,25,46
glcm_19,91.47,88.48,93.81,91.82,91.2,292,394,26,38
glcm_21,92.13,89.39,94.29,92.48,91.88,295,396,24,35
glcm_23,92.8,91.82,93.57,91.82,93.57,303,393,27,27
glcm_25,92.27,91.52,92.86,90.96,93.3,302,390,30,28
glcm_27,92.4,90.91,93.57,91.74,92.91,300,393,27,30
entr_3,86.8,85.45,87.86,84.68,88.49,282,369,51,48
entr_5,87.73,86.36,88.81,85.84,89.23,285,373,47,45
entr_7,88.67,85.15,91.43,88.64,88.68,281,384,36,49
entr_9,89.33,86.06,91.9,89.31,89.35,284,386,34,46
entr_11,89.07,86.67,90.95,88.27,89.67,286,382,38,44
entr_13,90.0,87.27,92.14,89.72,90.21,288,387,33,42
entr_15,90.0,86.97,92.38,89.97,90.02,287,388,32,43
entr_17,91.33,88.79,93.33,91.28,91.38,293,392,28,37
entr_19,91.2,88.48,93.33,91.25,91.16,292,392,28,38
entr_21,92.0,90.3,93.33,91.41,92.45,298,392,28,32
entr_23,92.0,90.3,93.33,91.41,92.45,298,392,28,32
entr_25,90.93,87.88,93.33,91.19,90.74,290,392,28,40
entr_27,91.07,88.79,92.86,90.71,91.33,293,390,30,37
avg_3,88.53,86.97,89.76,86.97,89.76,287,377,43,43
avg_5,89.07,87.88,90.0,87.35,90.43,290,378,42,40
avg_7,89.33,87.88,90.48,87.88,90.48,290,380,40,40
avg_9,89.33,86.97,91.19,88.58,89.91,287,383,37,43
avg_11,89.6,87.88,90.95,88.41,90.52,290,382,38,40
avg_13,89.33,88.48,90.0,87.43,90.87,292,378,42,38
avg_15,89.33,87.88,90.48,87.88,90.48,290,380,40,40
avg_17,90.8,90.0,91.43,89.19,92.09,297,384,36,33
avg_19,90.13,89.09,90.95,88.55,91.39,294,382,38,36
avg_21,91.07,90.3,91.67,89.49,92.33,298,385,35,32
avg_23,91.87,90.3,93.1,91.13,92.43,298,391,29,32
avg_25,90.93,89.7,91.9,89.7,91.9,296,386,34,34
avg_27,90.4,88.79,91.67,89.33,91.23,293,385,35,37
